Posting Date,Day,Month,Year,Amount,Description,Transaction Category,Five Guys,In N Out,Chick-Fil-A,Little Caesars,Cafe Rio,Taco Bell,Chipotle,Wendys,Arbys,Burger King,McDonalds,Arctic Circle,Sonic,Rancheritos,Mesq Mex Grill,Flying Pie Pizzeria,Jimmy Johns,Pizza Hut,Rocky Mountain Power,QuestarGas,GrangerHunter,WVCC,Walgreens,Winco,Walmart,Lucky,Sams Club,Maceys,Davis,Harmons,Reams,Smiths,Categories
9/4/21,4,9,2021,($109.03),PoS Withdrawal THE HOME DEPOT #4406 4581 SOUTH 4000 WEST   WEST VALLEY CUTU,Home Improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/21,4,9,2021,($63.77),PoS Withdrawal HOLIDAY OIL  #17 3210 W 3500 S          SALT LAKE CITUTUS,Gas & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/21,4,9,2021,($19.61),PoS Withdrawal CVS/PHARMACY #1 10332--3148 WEST 3500 SWEST VALLEY  UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/21,4,9,2021,($293.00),PoS Withdrawal 844028311885 AT&T MOBILITY EPAY     800-331-0500 TXUS,Cell Phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/21,4,9,2021,($51.79),PoS Withdrawal 235251000762203 AMZN Mktp US*255EY9KC0 Amzn.com/billWAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/21,4,9,2021,($103.00),ATM Withdrawal CHASE 1275 N HILL FIELD RD   LAYTON       UTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/21,3,9,2021,($424.68),ACH Withdrawal VENMO  - PAYMENT,Car Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/21,3,9,2021,$200.00 ,ACH Deposit VENMO  - CASHOUT,Allis Potter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/21,3,9,2021,($22.76),PoS Withdrawal 1VKWOGBF44BU45L DOORDASH*CHICK-FIL-A   WWW.DOORDASH.CAUS,Fast Food,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/3/21,3,9,2021,($17.12),PoS Withdrawal SAM'S Club 6682 WAL-SAMS          LAYTON       UTUS,Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
