,Day,Month,Year,Amount,Merchant Name
0,4,12,2021,39.21,Chick-fil
1,4,12,2021,292.79,AT&T
2,3,12,2021,6.37,Chick-fil-A
3,3,12,2021,75.0,The Eft Clinic
4,3,12,2021,10.27,Wendy's
5,1,12,2021,107.25,Kohls
6,30,11,2021,2.77,7-Eleven
7,30,11,2021,390.0,Thd Loan Svcs
8,30,11,2021,49.36,Chevron
9,30,11,2021,96.48,Kohls
10,30,11,2021,15.87,Wendy's
11,29,11,2021,42.37,Kohls
12,29,11,2021,150.05,Kohls
13,27,11,2021,22.0,Great Clips
14,27,11,2021,136.43,Kohls
15,26,11,2021,13.66,Chick-fil
16,26,11,2021,61.1,Target
17,26,11,2021,10.48,Macey's
18,24,11,2021,18.65,Little Caesar's
19,24,11,2021,67.14,Samsclub
20,24,11,2021,44.47,Rebel
21,23,11,2021,6.41,7-Eleven
22,23,11,2021,58.1,Emi Health
23,23,11,2021,100.0,Heritage
24,23,11,2021,175.83,Progressive Insurance
25,23,11,2021,0.99,Apple
26,23,11,2021,37.0,Xmission Lc
27,23,11,2021,162.03,Walmart
28,23,11,2021,9.83,Wendy's
29,22,11,2021,10.23,Chick-fil-A
30,22,11,2021,30.5,City Corp
31,22,11,2021,30.0,Utopia Fiber
32,22,11,2021,14.03,Taco Bell
33,22,11,2021,21.18,Wendy's
